Player,From,To,Pos,Ht,Wt,Birth Date,College,Link
Bob McNeill,1961,1962,G,6-1,170.0,"October 22, 1938",Saint Joseph's University,/players/m/mcneibo01.html
Larry McNeill,1974,1979,F-C,6-9,195.0,"January 31, 1951",Marquette University,/players/m/mcneila01.html
Carl McNulty,1955,1955,G,6-3,185.0,"February 14, 1930",Purdue University,/players/m/mcnulca01.html
Paul McPherson,2001,2001,G,6-4,210.0,"July 3, 1978",DePaul University,/players/m/mcphepa01.html
Roy McPipe,1975,1975,G,6-3,205.0,"May 5, 1950","Montana State University, Billings",/players/m/mcpipro01.html
Cozell McQueen,1987,1987,F,6-11,235.0,"January 18, 1962",North Carolina State University,/players/m/mcqueco01.html
Jordan McRae,2016,2017,G,6-6,185.0,"March 28, 1991",University of Tennessee,/players/m/mcraejo01.html
Thales McReynolds,1966,1966,G,6-3,185.0,"June 8, 1943",Miles College,/players/m/mcreyth01.html
Josh McRoberts,2008,2017,F,6-10,240.0,"February 28, 1987",Duke University,/players/m/mcrobjo01.html
Eric McWilliams,1973,1973,F,6-8,200.0,"April 18, 1950","California State University, Long Beach",/players/m/mcwiler01.html
George Mearns,1947,1948,F,6-3,175.0,"April 18, 1922",University of Rhode Island,/players/m/mearnge01.html
Stanislav Medvedenko,2001,2007,F,6-10,250.0,"April 4, 1979",,/players/m/medvest01.html
Darnell Mee,1994,1995,G,6-5,175.0,"February 11, 1971",Western Kentucky University,/players/m/meeda01.html
Jodie Meeks,2010,2017,G,6-4,210.0,"August 21, 1987",University of Kentucky,/players/m/meeksjo01.html
Cliff Meely,1972,1976,F-C,6-8,215.0,"July 10, 1947",University of Colorado,/players/m/meelycl01.html
Scott Meents,1990,1991,F,6-10,225.0,"January 4, 1964",University of Illinois at Urbana-Champaign,/players/m/meentsc01.html
Dick Mehen,1950,1952,F-C,6-5,195.0,"May 20, 1922",University of Tennessee,/players/m/mehendi01.html
Monk Meineke,1953,1958,F-C,6-7,208.0,"October 30, 1930",University of Dayton,/players/m/meinemo01.html
Carl Meinhold,1948,1949,G-F,6-2,185.0,"March 29, 1926",Long Island University,/players/m/meinhca01.html
Salah Mejri,2016,2017,C,7-1,245.0,"June 15, 1986",,/players/m/mejrisa01.html
Gal Mekel,2014,2015,G,6-3,191.0,"March 4, 1988",Wichita State University,/players/m/mekelga01.html
Bill Melchionni,1967,1976,G,6-1,165.0,"October 19, 1944",Villanova University,/players/m/melchbi01.html
Gary Melchionni,1974,1975,G,6-2,185.0,"January 19, 1951",Duke University,/players/m/melchga01.html
Fab Melo,2013,2013,C,7-0,255.0,"June 20, 1990",Syracuse University,/players/m/melofa01.html
Ed Melvin,1947,1947,G,5-9,170.0,"February 13, 1916",Duquesne University,/players/m/melvied01.html
Dean Meminger,1972,1977,G,6-0,175.0,"May 13, 1948",Marquette University,/players/m/meminde01.html
Chuck Mencel,1956,1957,G,6-0,168.0,"April 21, 1933",University of Minnesota,/players/m/mencech01.html
John Mengelt,1972,1981,G,6-2,195.0,"October 16, 1949",Auburn University,/players/m/mengejo01.html
Ken Menke,1950,1950,G,6-0,168.0,"October 2, 1922",University of Illinois at Urbana-Champaign,/players/m/menkeke01.html
Pops Mensah-Bonsu,2007,2011,F,6-9,240.0,"September 7, 1983",George Washington University,/players/m/mensapo01.html
Dewitt Menyard,1968,1968,C,6-10,210.0,"May 24, 1944",University of Utah,/players/m/menyade01.html
Ron Mercer,1998,2005,G-F,6-7,210.0,"May 18, 1976",University of Kentucky,/players/m/mercero01.html
Joe Meriweather,1976,1985,C-F,6-10,215.0,"October 26, 1953",Southern Illinois University,/players/m/meriwjo01.html
Porter Meriwether,1963,1963,G,6-2,180.0,"March 16, 1940",Tennessee State University,/players/m/meriwpo01.html
Tom Meschery,1962,1971,F,6-6,215.0,"October 26, 1938",Saint Mary's College of California,/players/m/meschto01.html
Bill Meyer,1968,1968,G,6-3,195.0,"August 30, 1943",Hiram College,/players/m/meyerbi01.html
Loren Meyer,1996,1999,C,6-10,257.0,"December 30, 1972",Iowa State University,/players/m/meyerlo01.html
Dave Meyers,1976,1980,F-C,6-8,215.0,"April 21, 1953","University of California, Los Angeles",/players/m/meyerda01.html
Stan Miasek,1947,1953,C-F,6-5,210.0,"August 8, 1924",,/players/m/miasest01.html
Larry Micheaux,1984,1985,F,6-9,220.0,"March 24, 1960",University of Houston,/players/m/michela01.html
Jordan Mickey,2016,2017,F,6-8,235.0,"July 9, 1994",Louisiana State University,/players/m/mickejo01.html
Khris Middleton,2013,2017,F-G,6-8,234.0,"August 12, 1991",Texas A&M University,/players/m/middlkh01.html
Red Mihalik,1947,1947,G,6-0,180.0,"September 22, 1916",,/players/m/mihalre01.html
Chris Mihm,2001,2009,C,7-0,265.0,"July 16, 1979",University of Texas at Austin,/players/m/mihmch01.html
Ed Mikan,1949,1954,C-F,6-8,230.0,"October 20, 1925",DePaul University,/players/m/mikaned01.html
George Mikan*,1949,1956,C,6-10,245.0,"June 18, 1924",DePaul University,/players/m/mikange01.html
Larry Mikan,1971,1971,F,6-7,210.0,"April 8, 1948",University of Minnesota,/players/m/mikanla01.html
Vern Mikkelsen*,1950,1959,F-C,6-7,230.0,"October 21, 1928",Hamline University,/players/m/mikkeve01.html
Al Miksis,1950,1950,C,6-7,210.0,"February 2, 1928",Western Illinois University,/players/m/miksial01.html
Aaron Miles,2006,2006,G,6-1,175.0,"April 13, 1983",University of Kansas,/players/m/milesaa01.html
C.J. Miles,2006,2017,G-F,6-6,225.0,"April 18, 1987",,/players/m/milescj01.html
Darius Miles,2001,2009,F,6-9,210.0,"October 9, 1981",,/players/m/milesda01.html
Eddie Miles,1964,1972,G-F,6-4,195.0,"July 5, 1940",Seattle University,/players/m/milesed01.html
Marko Milic,1998,1999,G-F,6-6,235.0,"May 7, 1977",,/players/m/milicma01.html
Darko Milicic,2004,2013,F-C,7-0,250.0,"June 20, 1985",,/players/m/milicda01.html
Nat Militzok,1947,1947,F,6-3,195.0,"May 3, 1923",Cornell University,/players/m/militna01.html
Andre Miller,2000,2016,G,6-3,200.0,"March 19, 1976",University of Utah,/players/m/millean02.html
Anthony Miller,1995,2005,F,6-9,225.0,"October 22, 1971",Michigan State University,/players/m/millean01.html
Bill Miller,1949,1949,F,6-3,190.0,"November 24, 1924",University of North Carolina,/players/m/millebi01.html
Bob Miller,1984,1984,F,6-10,230.0,"July 9, 1956",University of Cincinnati,/players/m/millebo01.html
Brad Miller,1999,2012,C,6-11,244.0,"April 12, 1976",Purdue University,/players/m/millebr01.html
Darius Miller,2013,2015,F,6-8,235.0,"March 21, 1990",University of Kentucky,/players/m/milleda01.html
Dick Miller,1981,1981,F,6-6,215.0,"April 26, 1958",University of Toledo,/players/m/milledi01.html
Eddie Miller,1953,1954,C-F,6-8,225.0,"June 18, 1931",Syracuse University,/players/m/milleed01.html
Harry Miller,1947,1947,C-F,6-4,230.0,"July 28, 1923",University of North Carolina,/players/m/milleha01.html
Jay Miller,1968,1971,F,6-5,205.0,"July 19, 1943",University of Notre Dame,/players/m/milleja01.html
Larry Miller,1969,1975,G-F,6-4,190.0,"April 4, 1946",University of North Carolina,/players/m/millela01.html
Mike Miller,2001,2017,F-G,6-8,218.0,"February 19, 1980",University of Florida,/players/m/millemi01.html
Oliver Miller,1993,2004,C,6-9,280.0,"April 6, 1970",University of Arkansas,/players/m/milleol01.html
Quincy Miller,2013,2015,F,6-9,210.0,"November 18, 1992",Baylor University,/players/m/millequ01.html
Reggie Miller*,1988,2005,G-F,6-7,185.0,"August 24, 1965","University of California, Los Angeles",/players/m/millere01.html
Walt Miller,1947,1947,F,6-2,190.0,"July 30, 1915",Duquesne University,/players/m/millewa01.html
Chris Mills,1994,2003,F,6-6,215.0,"January 25, 1970",University of Arizona,/players/m/millsch01.html
John Mills,1947,1947,C-F,6-8,203.0,"September 7, 1919",Western Kentucky University,/players/m/millsjo01.html
Patty Mills,2010,2017,G,6-0,185.0,"August 11, 1988",Saint Mary's College of California,/players/m/millspa02.html
Terry Mills,1991,2001,F,6-10,230.0,"December 21, 1967",University of Michigan,/players/m/millste01.html
Elijah Millsap,2015,2017,G-F,6-6,225.0,"August 12, 1987",University of Alabama at Birmingham,/players/m/millsel01.html
Paul Millsap,2007,2017,F,6-8,246.0,"February 10, 1985",Louisiana Tech University,/players/m/millspa01.html
Harold Miner,1993,1996,G,6-5,210.0,"May 5, 1971",University of Southern California,/players/m/minerha01.html
Yao Ming*,2003,2011,C,7-6,310.0,"September 12, 1980",,/players/m/mingya01.html
Dirk Minniefield,1986,1988,G,6-3,180.0,"January 17, 1961",University of Kentucky,/players/m/minnidi01.html
Dave Minor,1952,1953,G-F,6-2,185.0,"February 24, 1922","University of California, Los Angeles",/players/m/minorda01.html
Greg Minor,1995,1999,G-F,6-6,210.0,"September 18, 1971",University of Louisville,/players/m/minorgr01.html
Mark Minor,1973,1973,F,6-6,215.0,"May 14, 1950",Ohio State University,/players/m/minorma01.html
Nikola Mirotic,2015,2017,F,6-10,220.0,"February 11, 1991",,/players/m/mirotni01.html
Wat Misaka,1948,1948,G,5-7,150.0,"December 21, 1923",University of Utah,/players/m/misakwa01.html
Jason Miskiri,2000,2000,G,6-2,175.0,"August 19, 1975",George Mason University,/players/m/miskija01.html
Leland Mitchell,1968,1968,G,6-4,210.0,"February 22, 1941",Mississippi State University,/players/m/mitchle01.html
Mike Mitchell,1979,1988,F,6-7,215.0,"January 1, 1956",Auburn University,/players/m/mitchmi01.html
Murray Mitchell,1950,1950,C,6-6,,"March 19, 1923",Sam Houston State University,/players/m/mitchmu01.html
Sam Mitchell,1990,2002,F,6-6,210.0,"September 2, 1963",Mercer University,/players/m/mitchsa01.html
Todd Mitchell,1989,1989,F,6-7,205.0,"July 26, 1966",Purdue University,/players/m/mitchto01.html
Tony Mitchell,2014,2014,F,6-6,216.0,"August 7, 1989",University of Alabama,/players/m/mitchto03.html
Tony Mitchell,2014,2014,F,6-8,235.0,"April 7, 1992",University of North Texas,/players/m/mitchto02.html
Steve Mix,1970,1983,F,6-7,215.0,"December 30, 1947",University of Toledo,/players/m/mixst01.html
Bill Mlkvy,1953,1953,F,6-4,190.0,"January 19, 1931",Temple University,/players/m/mlkvybi01.html
Cuttino Mobley,1999,2009,G,6-4,190.0,"September 1, 1975",University of Rhode Island,/players/m/moblecu01.html
Eric Mobley,1995,1997,C,6-11,235.0,"February 1, 1970",University of Pittsburgh,/players/m/mobleer01.html
Doug Moe,1968,1972,F-G,6-5,215.0,"September 21, 1938",University of North Carolina,/players/m/moedo01.html
Larry Moffett,1978,1978,F,6-8,210.0,"November 5, 1954","University of Nevada, Las Vegas",/players/m/moffela01.html
Leo Mogus,1947,1951,F-C,6-4,190.0,"April 13, 1921",Youngstown State University,/players/m/mogusle01.html
Nazr Mohammed,1999,2016,C,6-10,221.0,"September 5, 1977",University of Kentucky,/players/m/mohamna01.html
Jerome Moiso,2001,2005,F-C,6-10,235.0,"June 15, 1978","University of California, Los Angeles",/players/m/moisoje01.html
Paul Mokeski,1980,1991,C-F,7-0,250.0,"January 3, 1957",University of Kansas,/players/m/mokespa01.html
Jack Molinas,1954,1954,F,6-6,200.0,"October 31, 1931",Columbia University,/players/m/molinja01.html
Wayne Molis,1967,1968,F,6-8,230.0,"April 17, 1943",Lewis University,/players/m/moliswa01.html
Sidney Moncrief,1980,1991,G,6-3,180.0,"September 21, 1957",University of Arkansas,/players/m/moncrsi01.html
Eric Money,1975,1980,G,6-0,170.0,"February 6, 1955",University of Arizona,/players/m/moneyer01.html
Sergei Monia,2006,2006,F,6-8,220.0,"April 15, 1983",,/players/m/moniase01.html
Earl Monroe*,1968,1980,G,6-3,185.0,"November 21, 1944",Winston-Salem State University,/players/m/monroea01.html
Greg Monroe,2011,2017,C-F,6-11,265.0,"June 4, 1990",Georgetown University,/players/m/monrogr01.html
Rodney Monroe,1992,1992,G,6-3,185.0,"April 16, 1968",North Carolina State University,/players/m/monroro01.html
Luis Montero,2016,2016,G,6-7,185.0,"April 6, 1993",Westchester CC,/players/m/montelu01.html
Howie Montgomery,1963,1963,F,6-5,220.0,"August 22, 1940",University of Texas-Pan American,/players/m/montgho01.html
Eric Montross,1995,2002,C,7-0,270.0,"September 23, 1971",University of North Carolina,/players/m/montrer01.html
Jamario Moon,2008,2012,F,6-8,205.0,"June 13, 1980",Meridian Community College,/players/m/moonja01.html
Jim Mooney,1953,1953,F,6-5,215.0,"July 8, 1930",Villanova University,/players/m/mooneji01.html
Andre Moore,1988,1988,F,6-9,215.0,"July 2, 1964",Loyola University of Chicago,/players/m/moorean01.html
E'Twaun Moore,2012,2017,G,6-4,191.0,"February 28, 1989",Purdue University,/players/m/mooreet01.html
Gene Moore,1969,1975,C-F,6-9,225.0,"July 29, 1945",Saint Louis University,/players/m/moorege01.html
Jackie Moore,1955,1957,F,6-5,180.0,"September 24, 1932",La Salle University,/players/m/mooreja01.html
Johnny Moore,1981,1990,G,6-1,175.0,"March 3, 1958",University of Texas at Austin,/players/m/moorejo01.html
Larry Moore,1968,1968,F,6-7,215.0,,,/players/m/moorela01.html
Lowes Moore,1981,1983,G,6-1,170.0,"May 5, 1957",West Virginia University,/players/m/moorelo01.html
Mikki Moore,1999,2012,C,6-11,225.0,"November 4, 1975",University of Nebraska,/players/m/mooremi01.html
Otto Moore,1969,1977,C-F,6-11,205.0,"August 27, 1946",University of Texas-Pan American,/players/m/mooreot01.html
Richard Moore,1968,1968,G,6-2,190.0,,Hiram Scott College,/players/m/mooreri01.html
Ron Moore,1988,1988,C,7-0,260.0,"January 16, 1962",West Virginia State University,/players/m/moorero01.html
Tracy Moore,1992,1997,G-F,6-4,200.0,"December 28, 1965",University of Tulsa,/players/m/mooretr01.html
Eric Moreland,2015,2016,F-C,6-10,238.0,"December 24, 1991",Oregon State University,/players/m/moreler01.html
Jackie Moreland,1961,1970,F-G,6-7,215.0,"March 11, 1938",Louisiana Tech University,/players/m/morelja01.html
Guy Morgan,1983,1983,G,6-8,205.0,"August 23, 1960",Wake Forest University,/players/m/morgagu01.html
Rex Morgan,1971,1972,G,6-5,190.0,"October 27, 1948",Jacksonville University,/players/m/morgare01.html
Elmore Morgenthaler,1947,1949,C,6-9,230.0,"August 3, 1922",New Mexico Institute of Mining and Technology,/players/m/morgeel01.html
Darren Morningstar,1994,1994,C,6-10,235.0,"April 22, 1969",University of Pittsburgh,/players/m/mornida01.html
Chris Morris,1989,1999,F,6-8,210.0,"January 20, 1966",Auburn University,/players/m/morrich01.html
Darius Morris,2012,2015,G,6-4,190.0,"January 3, 1991",University of Michigan,/players/m/morrida01.html
Isaiah Morris,1993,1993,F,6-8,229.0,"April 2, 1969",University of Arkansas,/players/m/morriis01.html
Marcus Morris,2012,2017,F,6-9,235.0,"September 2, 1989",University of Kansas,/players/m/morrima03.html
Markieff Morris,2012,2017,F,6-10,245.0,"September 2, 1989",University of Kansas,/players/m/morrima02.html
Max Morris,1950,1950,F-C,6-2,195.0,"March 14, 1925",Northwestern University,/players/m/morrima01.html
Randolph Morris,2007,2010,C,6-10,266.0,"January 2, 1986",University of Kentucky,/players/m/morrira01.html
Terence Morris,2002,2006,F,6-9,221.0,"January 11, 1979",University of Maryland,/players/m/morrite01.html
Adam Morrison,2007,2010,F,6-8,205.0,"July 19, 1984",Gonzaga University,/players/m/morriad01.html
John Morrison,1968,1968,G,6-2,190.0,"May 2, 1945",Canisius College,/players/m/morrijo01.html
Mike Morrison,1990,1990,G,6-4,195.0,"August 16, 1967",Loyola College in Maryland,/players/m/morrimi01.html
Red Morrison,1955,1958,F-C,6-8,220.0,"April 26, 1932",University of Idaho,/players/m/morrire01.html
Anthony Morrow,2009,2017,G,6-5,210.0,"September 27, 1985",Georgia Institute of Technology,/players/m/morroan01.html
Dwayne Morton,1995,1995,F,6-7,195.0,"August 8, 1971",University of Louisville,/players/m/mortodw01.html
John Morton,1990,1992,G,6-3,180.0,"May 18, 1967",Seton Hall University,/players/m/mortojo01.html
Richard Morton,1989,1989,G,6-3,190.0,"February 2, 1966","California State University, Fullerton",/players/m/mortori01.html
Glenn Mosley,1978,1979,F,6-8,195.0,"December 26, 1955",Seton Hall University,/players/m/moslegl01.html
Perry Moss,1986,1987,G,6-2,185.0,"November 11, 1958",Northeastern University,/players/m/mosspe01.html
Lawrence Moten,1996,1998,G,6-5,185.0,"March 25, 1972",Syracuse University,/players/m/motenla01.html
Donatas Motiejunas,2013,2017,F-C,7-0,222.0,"September 20, 1990",,/players/m/motiedo01.html
Hanno Mottola,2001,2002,C,6-11,247.0,"September 9, 1976",University of Utah,/players/m/mottoha01.html
Arnett Moultrie,2013,2014,F,6-11,249.0,"November 18, 1990",Mississippi State University,/players/m/moultar01.html
Rick Mount,1971,1975,G,6-3,175.0,"January 5, 1947",Purdue University,/players/m/mountri01.html
Alonzo Mourning*,1993,2008,C,6-10,240.0,"February 8, 1970",Georgetown University,/players/m/mournal01.html
Timofey Mozgov,2011,2017,C,7-1,275.0,"July 16, 1986",,/players/m/mozgoti01.html
Chuck Mrazovich,1951,1951,F,6-5,185.0,"February 26, 1924",Eastern Kentucky University,/players/m/mrazoch01.html
Emmanuel Mudiay,2016,2017,G,6-5,200.0,"March 5, 1996",,/players/m/mudiaem01.html
Erwin Mueller,1967,1974,C-F,6-8,230.0,"March 12, 1944",University of San Francisco,/players/m/mueller01.html
Shabazz Muhammad,2014,2017,F-G,6-6,223.0,"November 13, 1992","University of California, Los Angeles",/players/m/muhamsh01.html
Joe Mullaney,1950,1950,G,6-0,165.0,"November 17, 1925",College of the Holy Cross,/players/m/mullajo01.html
Bob Mullens,1947,1947,G,6-1,175.0,"November 1, 1922",Fordham University,/players/m/mullebo01.html
Byron Mullens,2010,2014,C,7-0,275.0,"February 14, 1989",Ohio State University,/players/m/mulleby01.html
Chris Mullin*,1986,2001,F-G,6-6,200.0,"July 30, 1963",St. John's University,/players/m/mullich01.html
Jeff Mullins,1965,1976,G-F,6-4,190.0,"March 18, 1942",Duke University,/players/m/mullije01.html
Todd Mundt,1996,1996,C,7-0,250.0,"May 17, 1970",Delta State University,/players/m/mundtto01.html
Xavier Munford,2016,2016,G,6-2,180.0,"June 1, 1992",University of Rhode Island,/players/m/munfoxa02.html
Chris Munk,1991,1991,F,6-9,225.0,"August 5, 1967",University of Southern California,/players/m/munkch01.html
George Munroe,1947,1948,G,5-11,170.0,"January 5, 1922",Dartmouth College,/players/m/munroge01.html
Eric Murdock,1992,2000,G,6-1,190.0,"June 14, 1968",Providence College,/players/m/murdoer01.html
Gheorghe Muresan,1994,2000,C,7-7,303.0,"February 14, 1971",,/players/m/muresgh01.html
Allen Murphy,1976,1977,G,6-5,190.0,"July 15, 1952",University of Louisville,/players/m/murphal01.html
Calvin Murphy*,1971,1983,G,5-9,165.0,"May 9, 1948",Niagara University,/players/m/murphca01.html
Dick Murphy,1947,1947,G,6-1,175.0,"March 10, 1921",Manhattan College,/players/m/murphdi01.html
Erik Murphy,2014,2014,F,6-10,230.0,"October 26, 1990",University of Florida,/players/m/murpher01.html
Jay Murphy,1985,1988,F,6-9,220.0,"June 26, 1962",Boston College,/players/m/murphja01.html
John Murphy,1947,1947,F,6-2,175.0,"September 13, 1924",,/players/m/murphjo01.html
Kevin Murphy,2013,2013,G,6-5,185.0,"March 6, 1990",Tennessee Technological University,/players/m/murphke01.html
Ronnie Murphy,1988,1988,F,6-5,225.0,"July 29, 1964",Jacksonville University,/players/m/murphro01.html
Tod Murphy,1988,1994,C-F,6-9,220.0,"December 24, 1963","University of California, Irvine",/players/m/murphto01.html
Troy Murphy,2002,2013,F-C,6-11,245.0,"May 2, 1980",University of Notre Dame,/players/m/murphtr01.html
Dejounte Murray,2017,2017,G,6-5,170.0,"September 19, 1996",University of Washington,/players/m/murrade01.html
Jamal Murray,2017,2017,G,6-4,207.0,"February 23, 1997",University of Kentucky,/players/m/murraja01.html
Ken Murray,1951,1955,G-F,6-2,190.0,"April 20, 1928",St. Bonaventure University,/players/m/murrake01.html
Lamond Murray,1995,2006,F,6-7,236.0,"April 20, 1973",University of California,/players/m/murrala01.html
Ronald Murray,2003,2010,G,6-4,190.0,"July 29, 1979",Shaw University,/players/m/murraro01.html
Tracy Murray,1993,2004,F,6-7,225.0,"July 25, 1971","University of California, Los Angeles",/players/m/murratr01.html
Willie Murrell,1968,1970,F,6-6,225.0,"September 13, 1941",Kansas State University,/players/m/murrewi01.html
Dorie Murrey,1967,1972,F-C,6-8,215.0,"September 7, 1943",University of Detroit Mercy,/players/m/murredo01.html
Toure' Murry,2014,2015,G-F,6-5,195.0,"November 8, 1989",Wichita State University,/players/m/murryto01.html
Mike Muscala,2014,2017,F-C,6-11,240.0,"July 1, 1991",Bucknell University,/players/m/muscami01.html
Angelo Musi,1947,1949,G,5-9,145.0,"July 25, 1918",Temple University,/players/m/musian01.html
Jerrod Mustaf,1991,1994,F-C,6-10,238.0,"October 28, 1969",University of Maryland,/players/m/mustaje01.html
Dikembe Mutombo*,1992,2009,C,7-2,245.0,"June 25, 1966",Georgetown University,/players/m/mutomdi01.html
Martin Muursepp,1997,1998,F,6-9,235.0,"September 26, 1974",,/players/m/muursma01.html
Pete Myers,1987,1998,G-F,6-6,180.0,"September 15, 1963",University of Arkansas at Little Rock,/players/m/myerspe01.html
Hamady N'Diaye,2011,2014,C,7-0,235.0,"January 12, 1987",Rutgers University,/players/n/ndiayha01.html
Makhtar N'Diaye,1999,1999,F,6-8,245.0,"December 12, 1973",University of North Carolina,/players/n/ndiayma01.html
Mamadou N'Diaye,2001,2005,C,7-0,255.0,"June 16, 1975",Auburn University,/players/n/ndiayma02.html
Boniface N'Dong,2006,2006,C,7-0,198.0,"March 9, 1977",,/players/n/ndongbo01.html
Bob Naber,1953,1953,F,6-3,185.0,"September 3, 1929",University of Louisville,/players/n/naberbo01.html
Boris Nachamkin,1955,1955,F,6-6,210.0,"December 6, 1933",New York University,/players/n/nachabo01.html
Bostjan Nachbar,2003,2008,F,6-9,221.0,"July 3, 1980",,/players/n/nachbbo01.html
Jerry Nagel,1950,1950,G,6-0,190.0,"May 18, 1928",Loyola University of Chicago,/players/n/nagelje01.html
Fritz Nagy,1949,1949,G-F,6-2,185.0,"January 3, 1924",University of Akron,/players/n/nagyfr01.html
Lee Nailon,2001,2006,F,6-9,238.0,"February 22, 1975",Texas Christian University,/players/n/nailole01.html
Eduardo Najera,2001,2012,F,6-8,240.0,"July 11, 1976",University of Oklahoma,/players/n/najered01.html
Larry Nance,1982,1994,F-C,6-10,205.0,"February 12, 1959",Clemson University,/players/n/nancela01.html
Larry Nance Jr.,2016,2017,F,6-9,230.0,"January 1, 1993",University of Wyoming,/players/n/nancela02.html
Shabazz Napier,2015,2017,G,6-1,175.0,"July 14, 1991",University of Connecticut,/players/n/napiesh01.html
Paul Napolitano,1949,1949,F-G,6-2,185.0,"February 3, 1923",University of San Francisco,/players/n/napolpa01.html
Bob Nash,1973,1979,F,6-8,195.0,"August 24, 1950",University of Hawaii,/players/n/nashbo01.html
Cotton Nash,1965,1968,F,6-5,215.0,"July 24, 1942",University of Kentucky,/players/n/nashco01.html
Steve Nash,1997,2014,G,6-3,195.0,"February 7, 1974",Santa Clara University,/players/n/nashst01.html
Swen Nater,1974,1984,C,6-11,240.0,"January 14, 1950","University of California, Los Angeles",/players/n/natersw01.html
Howard Nathan,1996,1996,G,5-11,175.0,"January 21, 1972",University of Louisiana at Monroe,/players/n/nathaho01.html
Calvin Natt,1980,1990,F,6-6,220.0,"January 8, 1957",University of Louisiana at Monroe,/players/n/nattca01.html
Kenny Natt,1981,1985,G,6-3,185.0,"October 5, 1958",University of Louisiana at Monroe,/players/n/nattke01.html
Willie Naulls,1957,1966,F-C,6-6,225.0,"October 7, 1934","University of California, Los Angeles",/players/n/naullwi01.html
Juan Carlos Navarro,2008,2008,G,6-3,170.0,"June 13, 1980",,/players/n/navarju01.html
Maurice Ndour,2017,2017,F,6-9,200.0,"June 18, 1992",Ohio University,/players/n/ndourma01.html
Craig Neal,1989,1991,G,6-5,165.0,"February 16, 1964",Georgia Institute of Technology,/players/n/nealcr01.html
Gary Neal,2011,2017,G,6-4,210.0,"October 3, 1984",Towson University,/players/n/nealga01.html
Jim Neal,1954,1955,C,6-11,235.0,"May 21, 1930",Wofford College,/players/n/nealji01.html
Lloyd Neal,1973,1979,C-F,6-7,225.0,"December 10, 1950",Tennessee State University,/players/n/nealll01.html
Ed Nealy,1983,1993,F,6-7,238.0,"February 19, 1960",Kansas State University,/players/n/nealyed01.html
Nemanja Nedovic,2014,2014,G,6-3,192.0,"June 16, 1991",,/players/n/nedovne01.html
Al Negratti,1947,1947,F-C,6-3,200.0,"June 12, 1921",Seton Hall University,/players/n/negraal01.html
Barry Nelson,1972,1972,C,6-10,230.0,"September 19, 1949",Duquesne University,/players/n/nelsoba01.html
DeMarcus Nelson,2009,2009,G,6-4,200.0,"November 2, 1985",Duke University,/players/n/nelsode01.html
Don Nelson*,1963,1976,F,6-6,210.0,"May 15, 1940",University of Iowa,/players/n/nelsodo01.html
Jameer Nelson,2005,2017,G,6-0,190.0,"February 9, 1982",Saint Joseph's University,/players/n/nelsoja01.html
Louie Nelson,1974,1978,G,6-3,190.0,"May 28, 1951",University of Washington,/players/n/nelsolo01.html
Ron Nelson,1971,1971,G,6-2,175.0,"October 7, 1946",University of New Mexico,/players/n/nelsoro01.html
Ruben Nembhard,1997,1997,G,6-3,208.0,"February 20, 1972",Weber State University,/players/n/nembhru01.html
Dick Nemelka,1971,1971,G,6-0,175.0,"October 1, 1943",Brigham Young University,/players/n/nemeldi01.html
Tyrone Nesby,1999,2002,F,6-6,225.0,"January 31, 1976","University of Nevada, Las Vegas",/players/n/nesbyty01.html
Martin Nessley,1988,1988,C,7-2,260.0,"February 16, 1965",Duke University,/players/n/nesslma01.html
Rasho Nesterovic,1999,2010,C,7-0,248.0,"May 30, 1976",,/players/n/nestera01.html
Raul Neto,2016,2017,G,6-1,179.0,"May 19, 1992",,/players/n/netora01.html
Bob Netolicky,1968,1976,F-C,6-9,220.0,"August 2, 1942",Drake University,/players/n/netolbo01.html
Johnny Neumann,1972,1978,G-F,6-6,200.0,"September 11, 1951",University of Mississippi,/players/n/neumajo01.html
Paul Neumann,1962,1967,G,6-1,175.0,"January 30, 1938",Stanford University,/players/n/neumapa01.html
Chuck Nevitt,1983,1994,C,7-5,217.0,"June 13, 1959",North Carolina State University,/players/n/nevitch01.html
Melvin Newbern,1993,1993,G,6-4,200.0,"June 11, 1967",University of Minnesota,/players/n/newbeme01.html
Ivano Newbill,1995,1998,F,6-9,245.0,"December 12, 1970",Georgia Institute of Technology,/players/n/newbiiv01.html
Ira Newble,2001,2008,F,6-7,220.0,"January 20, 1975",Miami University,/players/n/newblir01.html
Mike Newlin,1972,1982,G-F,6-4,200.0,"January 2, 1949",University of Utah,/players/n/newlimi01.html
Johnny Newman,1987,2002,F-G,6-7,190.0,"November 28, 1963",University of Richmond,/players/n/newmajo01.html
Dave Newmark,1969,1971,C,7-0,240.0,"September 11, 1946",Columbia University,/players/n/newmada01.html
Bill Newton,1973,1974,C,6-9,220.0,"December 22, 1950",Louisiana State University,/players/n/newtobi01.html
Georges Niang,2017,2017,F,6-8,230.0,"June 17, 1993",Iowa State University,/players/n/niangge01.html
Demetris Nichols,2008,2009,F,6-8,216.0,"September 4, 1984",Syracuse University,/players/n/nichode01.html
Jack Nichols,1949,1958,C-F,6-7,222.0,"April 9, 1926",University of Washington,/players/n/nichoja01.html
Andrew Nicholson,2013,2017,F,6-9,250.0,"December 8, 1989",St. Bonaventure University,/players/n/nichoan01.html
Gaylon Nickerson,1997,1997,G,6-3,190.0,"February 5, 1969",Northwestern Oklahoma State University,/players/n/nickega01.html
